customer_number,usia,pekerjaan,status_perkawinan,pendidikan,gagal_bayar_sebelumnya,pinjaman_rumah,pinjaman_pribadi,jenis_kontak,bulan_kontak_terakhir,hari_kontak_terakhir,jumlah_kontak_kampanye_ini,hari_sejak_kontak_sebelumnya,jumlah_kontak_sebelumnya,hasil_kampanye_sebelumnya,tingkat_variasi_pekerjaan,indeks_harga_konsumen,indeks_kepercayaan_konsumen,suku_bunga_euribor_3bln,jumlah_pekerja,pulau,berlangganan_deposito,high_rate_flag,job_sector
531036,63,0,0,6,0,1,0,0,4,5,2,999,0,0,-1.7,94.215,-40.3,0.885,4991.6,7,1,0,0
999241,43,1,0,6,0,1,0,0,8,5,2,999,0,0,-0.1,93.2,-42.0,4.021,5195.8,3,0,1,0
995002,29,0,1,6,0,1,1,0,4,4,1,999,0,0,1.4,93.918,-42.7,4.958,5228.1,7,0,1,0
932750,40,2,0,4,0,0,0,1,2,3,2,999,0,0,1.1,93.994,-36.4,4.859,5191.0,1,1,1,1
684699,40,0,1,6,0,0,0,0,5,3,3,999,0,0,1.4,93.444,-36.1,4.964,5228.1,4,0,1,0
687725,34,3,2,6,0,1,0,1,2,2,1,999,0,0,1.1,93.994,-36.4,4.856,5191.0,1,0,1,0
884790,31,0,1,6,0,1,1,0,4,5,1,999,0,0,1.4,93.918,-42.7,4.957,5228.1,6,0,1,0
138535,29,4,0,4,0,0,0,1,2,5,12,999,0,0,1.1,93.994,-36.4,4.864,5191.0,1,0,1,1
300611,37,0,2,6,0,2,2,1,2,3,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1,0,1,0
423882,30,0,1,4,0,1,0,0,4,3,1,999,0,0,1.4,93.918,-42.7,4.963,5228.1,3,0,1,0
102988,31,5,1,4,0,1,0,0,7,5,3,999,0,0,-1.1,94.601,-49.5,1.029,4963.6,1,1,0,2
602281,54,6,0,4,1,1,0,0,4,1,33,999,0,0,1.4,93.918,-42.7,4.96,5228.1,1,0,1,1
396740,54,2,0,1,0,0,0,1,2,2,6,999,1,1,-1.8,92.893,-46.2,1.291,5099.1,6,0,0,1
974639,32,7,1,6,0,0,0,0,2,1,1,999,0,0,-1.8,92.893,-46.2,1.244,5099.1,0,0,0,0
885539,31,1,2,3,0,0,0,1,2,2,2,999,0,0,1.1,93.994,-36.4,4.856,5191.0,1,0,1,0
707553,31,6,2,4,0,0,0,0,1,1,1,999,0,0,-1.8,93.075,-47.1,1.405,5099.1,0,0,0,1
103155,39,4,2,4,0,0,0,0,8,3,3,999,0,0,-0.1,93.2,-42.0,4.12,5195.8,5,0,1,1
202655,33,0,1,6,0,0,1,0,2,4,2,999,1,1,-1.8,92.893,-46.2,1.327,5099.1,2,0,0,0
310543,48,0,0,4,1,1,0,0,4,4,2,999,0,0,1.4,93.918,-42.7,4.958,5228.1,1,0,1,0
690771,30,0,1,6,0,1,0,0,8,2,2,999,0,0,-3.4,92.649,-30.1,0.716,5017.5,2,0,0,0
520862,36,0,0,6,0,1,0,0,5,1,2,999,0,0,1.4,93.444,-36.1,4.965,5228.1,3,0,1,0
112175,40,3,1,6,0,0,0,1,2,4,2,999,0,0,1.1,93.994,-36.4,4.86,5191.0,4,0,1,0
832931,47,6,0,4,0,0,0,0,8,2,2,999,0,0,-0.1,93.2,-42.0,4.153,5195.8,0,0,1,1
944698,32,0,1,6,0,1,1,0,5,4,2,999,0,0,1.4,93.444,-36.1,4.968,5228.1,5,0,1,0
790319,50,8,0,5,0,1,1,0,5,4,1,999,0,0,1.4,93.444,-36.1,4.968,5228.1,6,0,1,0
656657,39,3,0,4,0,0,0,0,8,5,2,999,1,1,-0.1,93.2,-42.0,4.021,5195.8,0,0,1,0
724992,45,1,1,5,1,1,0,1,3,5,3,999,0,0,1.4,94.465,-41.8,4.947,5228.1,6,0,1,0
666434,38,2,0,1,1,0,0,1,3,4,1,999,0,0,1.4,94.465,-41.8,4.961,5228.1,5,0,1,1
341196,44,1,0,3,0,1,1,0,2,1,1,999,0,0,-1.8,92.893,-46.2,1.264,5099.1,5,0,0,0
415787,28,3,1,6,0,1,0,0,4,3,9,999,0,0,1.4,93.918,-42.7,4.963,5228.1,2,0,1,0
526573,37,1,0,5,0,1,0,1,2,2,1,999,0,0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0
155869,30,6,1,4,0,0,0,0,8,1,2,999,0,0,-0.1,93.2,-42.0,4.191,5195.8,1,0,1,1
375703,48,2,0,3,0,1,0,1,2,1,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1,0,1,1
787769,25,6,1,4,0,0,0,1,3,3,1,999,0,0,1.4,94.465,-41.8,4.864,5228.1,5,0,1,1
648662,42,0,0,6,0,1,0,0,8,1,1,999,0,0,-0.1,93.2,-42.0,4.191,5195.8,4,0,1,0
461948,34,2,0,3,1,1,0,0,4,2,2,999,0,0,1.4,93.918,-42.7,4.962,5228.1,1,0,1,1
211227,33,3,0,6,0,1,0,0,8,1,2,999,0,0,-0.1,93.2,-42.0,4.191,5195.8,6,0,1,0
487054,57,2,0,1,1,1,0,0,5,3,1,999,0,0,1.4,93.444,-36.1,4.964,5228.1,0,0,1,1
928270,37,1,1,4,0,1,0,1,1,4,1,999,0,0,-1.8,93.075,-47.1,1.406,5099.1,3,0,0,0
